mapping_id, reg_id, stmt_id, task_id, topic_score,core_score, aux_score,final_score
mid_3095, Eudralex2007_5.21, Eudralex2007_5.21_6, S202Task, 0.47342, 0.0, 0.57607, 0.524745
mid_3096, Eudralex2007_5.21, Eudralex2007_5.21_6, TankCleaningTask103, 0.57074, 0.0, 0.8008, 0.68577
mid_3097, Eudralex2007_5.21, Eudralex2007_5.21_6, InvestigatingTask_303, 0.27568, 0.0, 0.47127, 0.373475
mid_3098, Eudralex2007_5.21, Eudralex2007_5.21_6, InvestigatingTask_101, 0.27309, 0.0, 0.41973, 0.34641
mid_3099, Eudralex2007_5.21, Eudralex2007_5.21_6, InvestigatingTask_102, 0.18195, 0.0, 0.31873, 0.25034
mid_3100, Eudralex2007_5.21, Eudralex2007_5.21_6, InvestigatingTask_203, 0.27309, 0.0, 0.44713, 0.36011000000000004
mid_3101, Eudralex2007_5.21, Eudralex2007_5.21_6, InvestigatingTask_104, 0.18195, 0.0, 0.31873, 0.25034
mid_3102, Eudralex2007_5.21, Eudralex2007_5.21_6, RecycleDisposal102, 0.34698, 0.0, 0.67349, 0.510235
mid_3103, Eudralex2007_5.21, Eudralex2007_5.21_6, InvestigatingTask_103, 0.27309, 0.0, 0.44713, 0.36011000000000004
mid_3104, Eudralex2007_5.21, Eudralex2007_5.21_6, InvestigatingTask_201, 0.16138, 0.0, 0.24926, 0.20532
mid_3105, Eudralex2007_5.21, Eudralex2007_5.21_6, InvestigatingTask_301, 0.24796, 0.0, 0.46679, 0.357375
mid_3106, Eudralex2007_5.21, Eudralex2007_5.21_6, DeviationRecordTask101, 0.24783, 0.0, 0.45012, 0.34897500000000004
mid_3107, Eudralex2007_5.21, Eudralex2007_5.21_6, BioDisposal101, 0.34698, 0.0, 0.67349, 0.510235
mid_3108, Eudralex2007_5.21, Eudralex2007_5.21_6, InvestigatingTask_302, 0.24796, 0.0, 0.46679, 0.357375
mid_3109, Eudralex2007_5.21, Eudralex2007_5.21_6, DeviationRecordTask103, 0.24783, 0.0, 0.45012, 0.34897500000000004
mid_3110, Eudralex2007_5.21, Eudralex2007_5.21_6, DeviationRecordTask102, 0.24783, 0.0, 0.45012, 0.34897500000000004
mid_3111, Eudralex2007_5.21, Eudralex2007_5.21_6, ToxicDisposal103, 0.34698, 0.0, 0.67349, 0.510235
mid_3112, Eudralex2007_5.21, Eudralex2007_5.21_6, DeviationRecordTask104, 0.24783, 0.0, 0.45012, 0.34897500000000004
